Datum,Stuttgart,Berlin,München
2024-01-01 00:00:00+00:00,5.4,5.9,3.6
2024-01-01 00:10:00+00:00,5.5,5.9,3.4
2024-01-01 00:20:00+00:00,5.5,5.8,3.7
2024-01-01 00:30:00+00:00,5.6,5.8,3.8
2024-01-01 00:40:00+00:00,5.6,5.9,3.6
2024-01-01 00:50:00+00:00,5.6,5.8,3.3
2024-01-01 01:00:00+00:00,5.7,5.8,3.0
2024-01-01 01:10:00+00:00,5.7,5.9,3.1
2024-01-01 01:20:00+00:00,5.7,5.8,2.9
2024-01-01 01:30:00+00:00,5.7,5.6,3.0
2024-01-01 01:40:00+00:00,5.7,5.8,3.4
2024-01-01 01:50:00+00:00,5.6,6.0,3.3
2024-01-01 02:00:00+00:00,5.4,6.0,3.7
2024-01-01 02:10:00+00:00,5.5,5.8,3.9
2024-01-01 02:20:00+00:00,5.7,5.6,3.9
2024-01-01 02:30:00+00:00,5.4,5.6,3.9
2024-01-01 02:40:00+00:00,5.4,5.7,3.9
2024-01-01 02:50:00+00:00,5.5,5.7,3.9
2024-01-01 03:00:00+00:00,5.5,5.6,3.6
2024-01-01 03:10:00+00:00,5.4,5.4,3.9
2024-01-01 03:20:00+00:00,5.3,5.3,3.5
2024-01-01 03:30:00+00:00,5.4,5.2,3.3
2024-01-01 03:40:00+00:00,5.5,5.1,3.4
2024-01-01 03:50:00+00:00,5.5,5.3,3.0
2024-01-01 04:00:00+00:00,5.4,5.3,3.1
2024-01-01 04:10:00+00:00,5.1,5.4,3.3
2024-01-01 04:20:00+00:00,5.1,5.1,3.3
2024-01-01 04:30:00+00:00,5.3,5.1,2.9
2024-01-01 04:40:00+00:00,5.2,5.1,3.9
2024-01-01 04:50:00+00:00,5.3,5.3,3.6
2024-01-01 05:00:00+00:00,5.2,5.5,3.6
2024-01-01 05:10:00+00:00,5.0,5.5,3.7
2024-01-01 05:20:00+00:00,5.8,5.6,4.1
2024-01-01 05:30:00+00:00,5.3,5.6,4.4
2024-01-01 05:40:00+00:00,5.1,5.7,4.2
2024-01-01 05:50:00+00:00,5.3,5.8,4.2
2024-01-01 06:00:00+00:00,5.3,5.9,4.2
2024-01-01 06:10:00+00:00,5.2,5.5,4.6
